Input Type,n,Algorithm,Avg_Time,Min_Time,Max_Time,Avg_Comparisons,Avg_Swaps_Data_Movements,Avg_Recursive_Calls,Avg_Max_Recursion_Depth,Avg_Peak_Memory_Bytes,Avg_Constant_c
sorted,100,Quick Sort,0.006752989976666868,0.00509380002040416,0.010052999947220087,4950.0,0.0,199.0,100.0,1524.8,1.0164262716974678e-05
sorted,200,Heap Sort,0.008408990001771598,0.0067888000048696995,0.010938600054942071,2587.0,1488.0,1588.0,8.0,2181.6,5.5004894080950945e-06
sorted,200,Merge Sort,0.004823660000693053,0.0037496000295504928,0.0057969000190496445,732.0,1544.0,399.0,9.0,6742.4,3.155252977643483e-06
sorted,200,Quick Sort,0.030208509997464716,0.02644349995534867,0.03797449998091906,19900.0,0.0,399.0,200.0,17143.1,1.9759993678239916e-05
sorted,300,Heap Sort,0.013775919994805009,0.011510300100781024,0.01830679993145168,4232.0,2410.0,2560.0,9.0,3099.2,5.580355460869864e-06
sorted,300,Merge Sort,0.007721580006182194,0.006247300072573125,0.01038729993160814,1180.0,2488.0,599.0,10.0,9420.8,3.1278608739228716e-06
sorted,300,Quick Sort,0.07840949000092223,0.07282709993887693,0.08853339997585863,44850.0,0.0,599.0,300.0,22370.4,3.1762149161411465e-05
sorted,400,Heap Sort,0.02052122000604868,0.018073100014589727,0.023589399992488325,5984.0,3372.0,3572.0,9.0,3910.4,5.9352040210723066e-06
sorted,400,Merge Sort,0.010306610027328134,0.009038500022143126,0.012375200050882995,1664.0,3488.0,799.0,10.0,11672.0,2.98090626482205e-06
sorted,400,Quick Sort,0.18784342000726612,0.1685197000624612,0.2980208999942988,79800.0,0.0,799.0,400.0,32731.2,5.4328593593874235e-05
sorted,500,Heap Sort,0.031866899982560426,0.023425799910910428,0.06154709996189922,7756.0,4354.0,4604.0,9.0,4710.4,7.1085582634584785e-06
sorted,500,Merge Sort,0.01632771999575198,0.010909499949775636,0.031576700042933226,2216.0,4488.0,999.0,10.0,14272.0,3.6422290515474637e-06
